Data Set,Sample,Permeability (P),Convection Term (X),Tumor,Model,Size (nm),Particle,Particle Type,Active
"Dreher, Liu",3.3 kDa,14293.50427,-4181.702907,Skin,Dorsal,3,Dextran,Polysaccharide,0
"Song, Darr",C3-Tag-PLD,0.882700701,-1.976620444,Breast,Orthotopic,79.1,Liposome,Lipid,0
"Song, Darr",T11-PLD,2.596429689,-2.965719357,Breast,Orthotopic,79.1,Liposome,Lipid,0
"Matsumura, Maeda",SMANCS,7.110010396,15.96954713,GBM,Orthotopic,,,,0
"Matsumura, Maeda",Albumin,3.277504536,4.304157769,GBM,Orthotopic,7,Albumin,Protein,0
"Matsumura, Maeda",IgG,6.988029777,4.780251441,GBM,Orthotopic,7.5,IgG,Protein,0
Mallinckrodt,control micelle,1.99296954,1.011714331,,,,,,0
Mallinckrodt,3HM,1.82066221,-0.441992402,,,,,,0
Mallinckrodt,liposome,1.751689621,0.513347262,,,,,,0
"Lin, Chang",InVNBL,4.352553091,2.810964552,Colon,SubQ,102,Liposome,Lipid,0
"Lin, Chang",ReDXRL,4.008432876,-2.774024294,Colon,SubQ,131,Liposome,Lipid,0
"Lee, Hoang",NT-BCM,0.62123206,-0.757376133,Breast,SubQ,57,Micelle,Lipid,1
"Lee, Hoang",T-BCM,1.312655989,-1.182538255,Breast,SubQ,61,Micelle,Lipid,1
"Lee, Hoang",NT-BCM,0.733383985,-1.217435067,Breast,SubQ,57,Micelle,Lipid,1
"Lee, Hoang",T-BCM,0.519305393,-0.438588238,Breast,SubQ,61,Micelle,Lipid,1
"Black, Wang",Nanospheres,4.550269108,3.653907587,Breast,SubQ,56.8,Nanosphere,Gold,0
"Black, Wang",Nanodisks,4.498400848,2.907859268,Breast,SubQ,92,Nanodisk,Gold,0
"Black, Wang",Nanorods,1.871061053,7.095969721,Breast,SubQ,39.2,Nanorod,Gold,0
"Black, Wang",Nanocages,3.411451215,4.699598699,Breast,SubQ,49.6,Nanocage,Gold,0
"Zhang, Mastorakos",PAMAM G4-OH,1.391717606,-4.10529038,GBM,Orthotopic,4,PAMAM,Polymer,0
"Meyers, Cheng",EGF pep -Au NPs,1.44283791,1.367677321,GBM,Orthotopic,42.2,Nanosphere,Gold,0
"Cheng, Kothapalli",Tripod-RGD,14.4681655,2.414993151,GBM,SubQ,20.6,Tripod,Gold,1
"Cheng, Kothapalli",Blocking,9.133414306,-4.940684452,GBM,SubQ,22.8,Tripod,Gold,1
"Cheng, Kothapalli",Tripods,19.4571046,-13.14678143,GBM,SubQ,22.7,Tripod,Gold,1
"Kuroda, Kuratsu",NK012 glioblastoma,2.370658158,-2.194558102,GBM,Orthotopic,20,Micelle,Lipid,0
"Wong, Ormsby",Cu 64 liposomes,1.119041512,1.742264279,Breast,Orthotopic,100,Liposome,Lipid,0
"Medina, Atti",Zr SCL,4.137883724,0.607463442,Breast,Orthotopic,103.4,Liposome,Lipid,1
"Medina, Atti",Zr CLL,3.50484396,-0.004997455,Breast,Orthotopic,104.4,Liposome,Lipid,1
"Miyajima, Nakamura",Tf(-)-PEG-CL liposome,2.241374368,-2.050255892,Colon,SubQ,100,Liposome,Lipid,0
"Miyajima, Nakamura",Tf(+)-PEG-CL liposome,0.899060802,0.407684829,Colon,SubQ,100,Liposome,Lipid,1
"Tsai, Chang",Primary tumor,9.181603524,-9.525310454,Colon,SubQ,102,Liposome,Lipid,0
"Tsai, Chang",metastases-1,10.42874727,-9.969970214,Colon,SubQ,103,Liposome,Lipid,0
"Tsai, Chang",metastases-2,6.934007543,-10.24817719,Colon,SubQ,104,Liposome,Lipid,0
"Tsai, Chang",metastases-3,16.588746,-21.5976914,Colon,SubQ,105,Liposome,Lipid,0
"Pathak, Kumar",pDNA/PEI,6.112887175,-11.04290497,Breast,SubQ,114,PEI,Polymer,0
"Pathak, Kumar",pDNA/CP-3,37.07390198,3.742509048,Breast,Orthotopic,100,Liposome,Lipid,0
"Hong, Zhang", 66Ga–NOTA–RGO–TRC105,20.11009738,0.150405726,Breast,SubQ,100,NOTA,Polymer,0
"Hong, Zhang", 66Ga–NOTA–RGO–TRC105 +Blocking,136.2240564,-143.8542904,Breast,SubQ,101,NOTA,Polymer,0
"Hong, Zhang", 66Ga–NOTA–RGO,101.635018,-101.3357616,Breast,SubQ,102,NOTA,Polymer,0
"Guo, Hong",64 Cu-labeled targeted micelles,138.5781499,-24.36648381,Breast,SubQ,37,Micelle,Lipid,1
"Guo, Hong",64 Cu-labeled targeted micelles +blocking,152.2857375,-96.82220853,Breast,SubQ,38,Micelle,Lipid,1
"Guo, Hong",64 Cu-labeled nontargeted micelles,89.42485846,-99.43881923,Breast,SubQ,39,Micelle,Lipid,0
"Hong, Yang",Cu-NOTA-GO-TRC,509.3824092,-178.0666899,Breast,SubQ,32.9,NOTA,Polymer,0
"Hong, Yang",Cu-NOTA-GO-TRC105+Blocking,405.9466013,-165.2565995,Breast,SubQ,32.9,NOTA,Polymer,0
"Hong, Yang",Cu-NOTA-GO,93.59365051,-116.3057715,Breast,SubQ,32.9,NOTA,Polymer,0
"Chen, Zhang",doxorubicin (DOX) and paclitaxel,637.2020331,42.2490646,Skin,SubQ,23,Pluronic Micelle,Polymer,0
"Chen, Zhang",drug loaded micelle + (with pluronic 127),187.6089736,277.5391453,Skin,SubQ,23,Pluronic Micelle,Polymer,0
"Guo, Shi",FA-hyd,69.705052,38.7691777,Breast,SubQ,70.9,PCL Micelle,Polymer,0
"Guo, Shi",FA-cbm,89.73829292,56.77804088,Breast,SubQ,86.6,PCL Micelle,Polymer,0
"Guo, Shi",m-hyd,77.05394157,-17.10197343,Breast,SubQ,70,PCL Micelle,Polymer,0
"Guo, Shi",DOX,59.61732681,3.394345755,Breast,SubQ,3,DOX,Molecule,0
"Ma, Sadoqi",DM-NP,22.6659232,20.90428367,Breast,SubQ,253,PLGA,Polymer,0
"Ma, Sadoqi",NM-NP,353.8792613,50.38232872,Breast,SubQ,253,PLGA,Polymer,0
"Charrois, Allen",82 nm,1.49951883,1.464727186,Breast,Orthotopic,82,Liposome,Lipid,0
"Charrois, Allen",101 nm,2.222541089,2.080598752,Breast,Orthotopic,101,Liposome,Lipid,0
"Charrois, Allen",154 nm,2.646072672,3.485091695,Breast,Orthotopic,154,Liposome,Lipid,0
"Charrois, Allen",241 nm,5.666329954,7.874999158,Breast,Orthotopic,241,Liposome,Lipid,0
"Koizumi, Kitagawa",SN38,1.176701907,-2.920332228,Colon,SubQ,20,NK012,Polymer,0
"Liu, Cai",Nontargeted Option 1,2.715674906,10.81376639,GBM,Subq,200,CNT,Carbon,0
"Liu, Cai",0.64 NGR-P2K Option 1,2.823377444,7.553013085,GBM,Subq,201,CNT,Carbon,1
"Liu, Cai",Nontargeted Option 2,6.907643237,6.666492418,GBM,Subq,202,CNT,Carbon,0
"Liu, Cai",0.64 NGR-P2K Option 2,5.386620585,3.290850065,GBM,Subq,203,CNT,Carbon,1
